Accession,mash.dist.to.wuhan1.k.9,mash.dist.to.wuhan1.k.10,mash.dist.to.wuhan1.k.11,mash.dist.to.wuhan1.k.12,mash.dist.to.wuhan1.k.13,mash.dist.to.wuhan1.k.14,mash.dist.to.wuhan1.k.15,mash.dist.to.wuhan1.k.16,mash.dist.to.wuhan1.k.17,mash.dist.to.wuhan1.k.18,mash.dist.to.wuhan1.k.19,mash.dist.to.wuhan1.k.20,mash.dist.to.wuhan1.k.21,prop_hits,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID,log_mash_distance,"get(str_glue(""mash.dist.to.wuhan1.k.{k}""))",studres
AY274119,0.0931989,0.138054,0.16354,0.166644,0.161121,0.158598,0.157783,0.153115,0.155295,0.14725,0.143097,0.144983,0.140258,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29751,"He,R., Dobie,F., Ballantine,M., Leeson,A., Li,Y., Bastien,N., Cutts,T., Andonov,A., Cao,J., Booth,T.F., Plummer,F.A., Tyler,S., Baker,L., Li,X.",15020242,Canada: Toronto,Homo sapiens,unknown,"","Severe acute respiratory syndrome-related coronavirus isolate Tor2, complete genome",SARS,9606,-1.82559964347702,0.161121,0.930470273533845
AY278487,0.0936107,0.138115,0.16354,0.166751,0.161231,0.158952,0.158042,0.153381,0.155449,0.147544,0.143547,0.145155,0.14043,0.700564971751413,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29727,"","","",Homo sapiens,"","",SARS coronavirus BJ02,SARS,,-1.82491715970606,0.161231,0.515453165490952
AY278489,0.0937379,0.138115,0.164097,0.167505,0.161895,0.160631,0.159353,0.154865,0.156379,0.148585,0.143849,0.146378,0.1413,0.728813559322034,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29757,"","","",Homo sapiens,"","",SARS coronavirus GD01,SARS,,-1.82080730203672,0.161895,0.892671363959442
AY278741,0.0931042,0.138115,0.16354,0.166537,0.161341,0.159189,0.157912,0.153514,0.155603,0.14725,0.143547,0.145328,0.140776,0.734463276836158,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29745,"","","",Homo sapiens,"","",SARS coronavirus Urbani,SARS,,-1.82423514140153,0.161341,0.939641739655645
AY304486,0.0935155,0.138542,0.163448,0.167073,0.161562,0.159906,0.157912,0.153782,0.156223,0.148136,0.144153,0.145675,0.141125,0.706214689265537,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29741,"","","",Paguma larvata,"","",Civet SARS CoV SZ3/2003,SARS-like,,-1.82286630906174,0.161562,0.599091658274555
AY394979,0.0932621,0.138359,0.163355,0.166858,0.161562,0.158952,0.158563,0.153782,0.155912,0.147692,0.143396,0.14585,0.14095,0.700564971751413,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29645,"","","","","","",SARS coronavirus GZ-C,SARS,,-1.82286630906174,0.161562,0.529214241068553
AY394981,0.0947315,0.140212,0.164939,0.169927,0.165085,0.163487,0.160964,0.156812,0.159104,0.151681,0.147301,0.149865,0.144769,0.711864406779661,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29726,"","","","","","",SARS coronavirus HGZ8L1-A,SARS,,-1.80129478621139,0.165085,0.813834083668315
AY394995,0.093357,0.137993,0.163448,0.166751,0.161452,0.158716,0.157525,0.153115,0.155603,0.147544,0.143097,0.145155,0.140603,0.700564971751413,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29765,"","","","","","",SARS coronavirus HSZ-Cc,SARS,,-1.82354739411844,0.161452,0.52464416789026
AY485277,0.0933253,0.138237,0.164283,0.167505,0.161895,0.159906,0.158956,0.154729,0.157008,0.148435,0.144306,0.146201,0.14183,0.706214689265537,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29741,"","","","","","",SARS coronavirus Sino1-11,SARS,,-1.82080730203672,0.161895,0.612910722051025
AY515512,0.094185,0.139527,0.16447,0.168158,0.162905,0.161487,0.15922,0.155969,0.158613,0.148887,0.145388,0.146911,0.142367,0.706214689265537,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29731,"Yi,G.","",China,Paguma larvata,unknown,"","SARS coronavirus HC/SZ/61/03, complete genome",SARS,9675,-1.81458807016808,0.162905,0.654654088293908
